job_salary
0,18.0k-25.0k
1,2.0k-3.0k
2,20.0k-40.0k
3,2.0k-4.0k
4,5.0k-8.0k
5,5.0k-8.0k
6,15.0k-20.0k
7,15.0k-20.0k
8,20.0k-40.0k
9,6.0k-8.0k
10,10.0k-16.0k
11,10.0k-15.0k
12,30.0k-40.0k
13,8.0k-10.0k
14,5.0k-8.0k
15,6.0k-8.0k
16,6.0k-10.0k
17,10.0k-20.0k
18,15.0k-20.0k
19,4.9k-9.5k
20,5.0k-8.0k
21,4.0k-6.0k
22,5.0k-8.5k
23,3.0k-4.5k
24,3.0k-4.5k
25,25.0k-33.33k
26,4.5k-6.0k
27,15.0k-28.0k
28,4.5k-6.0k
29,4.5k-6.0k
30,8.0k-13.0k
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,4.0k-5.0k
43,6.0k-8.0k
44,6.0k-8.0k
45,4.0k-6.0k
46,8.0k-12.0k
47,6.0k-8.0k
48,4.5k-6.0k
49,4.5k-6.0k
50,8.0k-15.0k
51,3.33k-4.17k
52,10.0k-15.0k
53,8.33k-12.5k
54,5.0k-7.0k
55,
56,8.0k-16.0k
57,3.0k-4.5k
58,6.0k-8.0k
59,30.0k-60.0k
60,6.0k-8.0k
61,6.67k-8.33k
62,4.17k-5.0k
63,6.0k-12.0k
64,6.0k-8.0k
65,4.5k-6.0k
66,4.5k-6.0k
67,7.0k-12.0k
68,6.0k-8.0k
69,7.0k-13.0k
70,8.0k-10.0k
71,4.5k-6.0k
72,10.0k-20.0k
73,8.0k-10.0k
74,8.0k-10.0k
75,6.0k-8.0k
76,6.0k-12.0k
77,25.0k-30.0k
78,5.0k-8.0k
79,5.0k-8.0k
80,4.0k-5.0k
81,4.5k-6.0k
82,6.0k-8.0k
83,4.5k-6.5k
84,16.67k-25.0k
85,9.0k-14.0k
86,3.5k-4.5k
87,4.5k
88,6.0k-10.0k
89,6.0k-8.0k
90,12.0k-18.0k
91,3.1k-4.0k
92,10.0k-15.0k
93,12.0k-20.0k
94,10.0k-17.0k
95,15.0k-25.0k
96,12.0k-20.0k
97,4.5k-6.0k
98,6.0k-8.0k
99,10.0k-15.0k
100,
101,5.0k-8.0k
102,6.0k-8.0k
103,4.0k-5.0k
104,8.33k-12.5k
105,8.0k-10.0k
106,6.0k-8.0k
107,25.0k-30.0k
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,15.0k-20.0k
123,20.0k-30.0k
124,3.5k-5.5k
125,6.0k-12.0k
126,10.0k-15.0k
127,11.67k-16.67k
128,4.5k-6.0k
129,8.0k-18.0k
130,6.0k-9.0k
131,17.0k-25.0k
132,4.0k-5.0k
133,5.0k-7.0k
134,3.0k-4.0k
135,4.5k-6.0k
