job_year,job_education
286,3-4年经验,本科
287,1年经验,本科
288,5-7年经验,本科
289,1年经验,大专
290,在校生/应届生,本科
291,2年经验,本科
292,3-4年经验,大专
293,3-4年经验,本科
294,在校生/应届生,本科
295,1年经验,本科
296,在校生/应届生,本科
297,1年经验,大专
298,3-4年经验,本科
299,3-4年经验,本科
300,无需经验,本科
301,本科,无学历要求
302,5-7年经验,本科
303,1年经验,无学历要求
304,3-4年经验,本科
305,3-4年经验,本科
306,3-4年经验,本科
307,3-4年经验,大专
308,3-4年经验,本科
309,在校生/应届生,硕士
310,2年经验,本科
311,5-7年经验,本科
312,1年经验,本科
313,3-4年经验,本科
314,5-7年经验,本科
315,3-4年经验,无学历要求
316,3-4年经验,大专
317,5-7年经验,本科
318,1年经验,本科
319,无需经验,硕士
320,在校生/应届生,大专
321,3-4年经验,本科
322,3-4年经验,本科
323,3-4年经验,本科
324,1年经验,本科
325,3-4年经验,本科
326,3-4年经验,硕士
327,2年经验,大专
328,2年经验,高中
329,3-4年经验,大专
330,1年经验,本科
331,本科,无学历要求
332,3-4年经验,本科
333,无需经验,硕士
334,1年经验,大专
335,5-7年经验,本科
336,无需经验,硕士
337,5-7年经验,硕士
338,2年经验,大专
339,在校生/应届生,高中
340,1年经验,本科
341,在校生/应届生,本科
342,无需经验,中专
343,在校生/应届生,硕士
344,2年经验,本科
345,1年经验,无学历要求
346,5-7年经验,中专
347,3-4年经验,本科
348,2年经验,本科
349,在校生/应届生,本科
350,2年经验,中专
351,2年经验,本科
352,1年经验,大专
353,1年经验,大专
354,5-7年经验,硕士
355,1年经验,大专
356,在校生/应届生,大专
357,3-4年经验,无学历要求
358,3-4年经验,硕士
359,2年经验,大专
360,3-4年经验,硕士
361,3-4年经验,大专
362,5-7年经验,本科
363,1年经验,本科
364,大专,无学历要求
365,3-4年经验,本科
366,3-4年经验,本科
367,5-7年经验,本科
368,3-4年经验,本科
369,3-4年经验,大专
370,1年经验,大专
371,2年经验,大专
372,3-4年经验,本科
373,2年经验,中专
374,2年经验,本科
375,无需经验,无学历要求
376,本科,招若干人
377,3-4年经验,本科
378,无需经验,初中及以下
379,2年经验,本科
380,1年经验,大专
381,1年经验,大专
382,5-7年经验,本科
383,1年经验,大专
384,大专,无学历要求
385,1年经验,本科
386,在校生/应届生,中专
387,5-7年经验,本科
388,在校生/应届生,本科
389,5-7年经验,大专
390,5-7年经验,本科
391,在校生/应届生,大专
392,1年经验,大专
393,3-4年经验,本科
394,3-4年经验,本科
395,无需经验,本科
396,2年经验,本科
397,1年经验,本科
398,在校生/应届生,大专
399,本科,无学历要求
400,5-7年经验,无学历要求
401,5-7年经验,本科
402,8-9年经验,本科
403,本科,无学历要求
404,2年经验,本科
405,1年经验,大专
406,1年经验,大专
407,1年经验,大专
408,3-4年经验,无学历要求
409,1年经验,大专
410,3-4年经验,本科
411,无需经验,大专
412,3-4年经验,本科
413,在校生/应届生,本科
414,1年经验,本科
415,无需经验,招5人
416,3-4年经验,本科
417,无需经验,中专
418,在校生/应届生,博士
419,3-4年经验,本科
420,1年经验,大专
421,在校生/应届生,本科
422,无需经验,本科
423,3-4年经验,本科
424,5-7年经验,本科
425,1年经验,大专
426,2年经验,本科
427,3-4年经验,本科
428,无需经验,本科
429,2年经验,本科
430,3-4年经验,本科
431,在校生/应届生,中专
432,在校生/应届生,硕士
433,1年经验,本科
434,2年经验,本科
435,8-9年经验,本科
436,3-4年经验,大专
437,5-7年经验,本科
438,3-4年经验,大专
439,3-4年经验,本科
440,3-4年经验,大专
441,3-4年经验,大专
442,1年经验,本科
443,3-4年经验,大专
444,3-4年经验,大专
445,3-4年经验,本科
446,5-7年经验,本科
447,3-4年经验,本科
448,3-4年经验,本科
449,5-7年经验,本科
450,2年经验,大专
451,在校生/应届生,大专
452,3-4年经验,本科
453,3-4年经验,本科
454,2年经验,大专
455,1年经验,大专
456,5-7年经验,本科
457,3-4年经验,本科
458,1年经验,大专
459,2年经验,本科
460,5-7年经验,本科
461,1年经验,大专
462,无需经验,大专
463,1年经验,中专
464,5-7年经验,本科
465,2年经验,本科
466,5-7年经验,本科
467,1年经验,大专
468,5-7年经验,本科
469,5-7年经验,本科
470,5-7年经验,本科
471,3-4年经验,本科
472,1年经验,大专
473,1年经验,本科
474,3-4年经验,本科
475,5-7年经验,本科
476,2年经验,本科
477,2年经验,本科
478,3-4年经验,本科
479,无需经验,本科
480,2年经验,大专
481,3-4年经验,本科
482,1年经验,本科
483,3-4年经验,大专
484,3-4年经验,大专
485,1年经验,本科
486,在校生/应届生,高中
487,1年经验,大专
488,1年经验,硕士
489,2年经验,本科
490,5-7年经验,大专
491,3-4年经验,本科
492,5-7年经验,本科
493,2年经验,大专
494,1年经验,大专
495,1年经验,大专
496,大专,无学历要求
497,1年经验,大专
498,3-4年经验,本科
499,3-4年经验,大专
500,1年经验,硕士
501,1年经验,大专
502,3-4年经验,大专
503,2年经验,本科
504,无需经验,本科
505,3-4年经验,本科
506,3-4年经验,本科
507,5-7年经验,本科
508,3-4年经验,大专
509,3-4年经验,本科
510,1年经验,本科
511,2年经验,本科
512,5-7年经验,本科
513,2年经验,大专
514,3-4年经验,本科
515,5-7年经验,本科
516,3-4年经验,硕士
517,在校生/应届生,大专
518,无需经验,大专
519,1年经验,大专
520,本科,无学历要求
521,2年经验,本科
522,在校生/应届生,中专
523,5-7年经验,本科
524,5-7年经验,硕士
525,硕士,招2人
526,2年经验,高中
527,在校生/应届生,大专
528,5-7年经验,中专
529,3-4年经验,本科
530,3-4年经验,本科
531,1年经验,本科
532,5-7年经验,本科
533,2年经验,大专
534,2年经验,本科
535,在校生/应届生,大专
536,2年经验,本科
537,3-4年经验,本科
538,3-4年经验,大专
539,5-7年经验,本科
540,在校生/应届生,大专
541,2年经验,大专
542,3-4年经验,大专
543,3-4年经验,本科
544,1年经验,大专
545,2年经验,大专
546,3-4年经验,本科
547,2年经验,大专
548,1年经验,大专
549,2年经验,大专
550,5-7年经验,本科
551,1年经验,无学历要求
552,2年经验,本科
553,3-4年经验,本科
554,1年经验,中技
555,3-4年经验,本科
556,3-4年经验,本科
557,3-4年经验,本科
558,5-7年经验,本科
559,1年经验,大专
560,本科,无学历要求
561,5-7年经验,本科
562,1年经验,大专
563,在校生/应届生,本科
564,3-4年经验,本科
565,1年经验,本科
566,3-4年经验,本科
567,1年经验,本科
568,3-4年经验,本科
569,1年经验,本科
570,2年经验,本科
571,本科,无学历要求
572,3-4年经验,本科
573,招若干人,无学历要求
574,3-4年经验,本科
575,8-9年经验,本科
576,5-7年经验,本科
577,2年经验,大专
578,在校生/应届生,硕士
579,1年经验,本科
580,2年经验,本科
581,2年经验,本科
582,3-4年经验,硕士
583,1年经验,大专
584,2年经验,大专
585,2年经验,大专
586,3-4年经验,本科
587,在校生/应届生,本科
588,1年经验,本科
589,3-4年经验,本科
590,在校生/应届生,大专
591,2年经验,大专
592,在校生/应届生,本科
593,1年经验,大专
594,3-4年经验,本科
595,1年经验,大专
596,3-4年经验,本科
597,3-4年经验,大专
598,无需经验,中技
599,在校生/应届生,大专
600,3-4年经验,本科
601,2年经验,大专
602,3-4年经验,本科
603,在校生/应届生,大专
604,大专,无学历要求
605,在校生/应届生,大专
606,1年经验,大专
607,1年经验,大专
608,3-4年经验,本科
609,1年经验,本科
610,1年经验,大专
611,在校生/应届生,本科
612,在校生/应届生,大专
613,3-4年经验,本科
614,3-4年经验,大专
615,在校生/应届生,大专
616,在校生/应届生,大专
617,本科,无学历要求
618,3-4年经验,本科
619,1年经验,本科
620,1年经验,本科
621,2年经验,大专
622,2年经验,大专
623,2年经验,大专
624,无需经验,中专
625,8-9年经验,本科
626,1年经验,硕士
627,3-4年经验,大专
628,2年经验,本科
629,5-7年经验,本科
630,2年经验,本科
631,1年经验,中专
632,本科,无学历要求
633,在校生/应届生,大专
634,大专,无学历要求
635,本科,招若干人
